bloco,rep,trat,emerg,tempo,censura
2,5,c,17,23,0
2,5,c,18,23,0
2,5,c,19,23,0
2,5,c,20,23,0
2,6,c,1,15,1
2,6,c,2,16,1
2,6,c,3,16,1
2,6,c,4,16,1
2,6,c,5,17,1
2,6,c,6,17,1
2,6,c,7,18,1
2,6,c,8,18,1
2,6,c,9,19,1
2,6,c,10,23,0
2,6,c,11,23,0
2,6,c,12,23,0
2,6,c,13,23,0
2,6,c,14,23,0
2,6,c,15,23,0
2,6,c,16,23,0
2,6,c,17,23,0
2,6,c,18,23,0
2,6,c,19,23,0
2,6,c,20,23,0
2,7,c,1,16,1
2,7,c,2,18,1
2,7,c,3,23,0
2,7,c,4,23,0
2,7,c,5,23,0
2,7,c,6,23,0
2,7,c,7,23,0
2,7,c,8,23,0
2,7,c,9,23,0
2,7,c,10,23,0
2,7,c,11,23,0
2,7,c,12,23,0
2,7,c,13,23,0
2,7,c,14,23,0
2,7,c,15,23,0
2,7,c,16,23,0
2,7,c,17,23,0
2,7,c,18,23,0
2,7,c,19,23,0
2,7,c,20,23,0
2,8,c,1,15,1
2,8,c,2,16,1
2,8,c,3,16,1
2,8,c,4,16,1
2,8,c,5,16,1
2,8,c,6,16,1
2,8,c,7,17,1
2,8,c,8,17,1
2,8,c,9,18,1
2,8,c,10,18,1
2,8,c,11,18,1
2,8,c,12,18,1
2,8,c,13,23,0
2,8,c,14,23,0
2,8,c,15,23,0
2,8,c,16,23,0
2,8,c,17,23,0
2,8,c,18,23,0
2,8,c,19,23,0
2,8,c,20,23,0
2,9,c,1,15,1
2,9,c,2,15,1
2,9,c,3,16,1
2,9,c,4,16,1
2,9,c,5,16,1
2,9,c,6,16,1
2,9,c,7,16,1
2,9,c,8,16,1
2,9,c,9,16,1
2,9,c,10,16,1
2,9,c,11,16,1
2,9,c,12,16,1
2,9,c,13,17,1
2,9,c,14,17,1
2,9,c,15,18,1
2,9,c,16,19,1
2,9,c,17,23,0
2,9,c,18,23,0
2,9,c,19,23,0
2,9,c,20,23,0
2,10,c,1,16,1
2,10,c,2,16,1
2,10,c,3,16,1
2,10,c,4,16,1
2,10,c,5,16,1
2,10,c,6,16,1
2,10,c,7,17,1
2,10,c,8,18,1
2,10,c,9,18,1
2,10,c,10,23,0
2,10,c,11,23,0
